         TRACER     LAYER               GRADIENT
             h2        12 -0.714719192866598E-17
             h2        13 -0.240138583752678E-21
             h2        14 -0.544799732121056E-26
             h2        15 -0.914998573588756E-31
             h2        16 -0.117759053380121E-35
             h2        17 -0.119738029111807E-40
             h2        18 -0.101589987426356E-45
             h2        19 -0.865417309763731E-51
             h2        20 -0.603425467679733E-56
             h2        21  0.480789438668658E-61
             h2        22  0.108099953723905E-65
             h2        23  0.805630042431381E-71
             h2        24  0.374598029178839E-76
             h2        25  0.120950043337169E-81
             oh         1 -0.364906215642782E+00
             oh         2 -0.118563808661855E+01
             oh         3 -0.299460939234318E+01
             oh         4 -0.600616232551913E+01
             oh         5 -0.101978515633505E+02
             oh         6 -0.136193317041664E+02
             oh         7 -0.859842676975465E+01
             oh         8 -0.155370725869255E+01
             oh         9 -0.639792651762034E-01
             oh        10 -0.400275356098052E-03
             oh        11 -0.629519523410904E-07
             oh        12 -0.378213053821560E-11
             oh        13 -0.126248769218173E-15
             oh        14 -0.289934956133520E-20
             oh        15 -0.493217956748945E-25
             oh        16 -0.630604485052443E-30
             oh        17 -0.610083900901542E-35
             oh        18 -0.457710970072390E-40
             oh        19 -0.327513600195600E-45
             oh        20 -0.266788718252784E-50
             oh        21  0.218352695598980E-55
             oh        22  0.710994250503141E-61
             oh        23  0.305861760427428E-66
             oh        24  0.153200711281344E-71
             oh        25  0.533553334558335E-77
            ho2         1 -0.187981989794981E+00
            ho2         2 -0.610783255279640E+00
            ho2         3 -0.154267759463222E+01
            ho2         4 -0.309408364139172E+01
            ho2         5 -0.525343845404779E+01
            ho2         6 -0.701601980626592E+01
            ho2         7 -0.442949262365880E+01
            ho2         8 -0.800394654774185E+00
            ho2         9 -0.329590158118789E-01
            ho2        10 -0.206202458210941E-03
            ho2        11 -0.324297951255156E-07
            ho2        12 -0.194837031915364E-11
            ho2        13 -0.650372450970351E-16
            ho2        14 -0.149360431031365E-20
            ho2        15 -0.254081978735984E-25
            ho2        16 -0.324856853572799E-30
            ho2        17 -0.314285641366207E-35
            ho2        18 -0.235790423824350E-40
            ho2        19 -0.168718451254658E-45
            ho2        20 -0.137423849888103E-50
            ho2        21  0.112493884631656E-55
            ho2        22  0.366299351051574E-61
            ho2        23  0.157571211527158E-66
            ho2        24  0.789225110533306E-72
            ho2        25  0.274861902496246E-77
           h2o2         1 -0.369835684465996E-01
           h2o2         2 -0.120164139039290E+00
           h2o2         3 -0.300766020182068E+00
           h2o2         4 -0.612319786932237E+00
           h2o2         5 -0.105073283260846E+01
           h2o2         6 -0.141253852754602E+01
           h2o2         7 -0.898358777524922E+00
           h2o2         8 -0.163705942638937E+00
           h2o2         9 -0.682346231295256E-02
           h2o2        10 -0.431622822817785E-04
           h2o2        11 -0.944383720308274E-08
           h2o2        12 -0.593726365578529E-12
           h2o2        13 -0.202538803131644E-16
           h2o2        14 -0.477273600961582E-21
           h2o2        15 -0.843835934870050E-26
           h2o2        16 -0.113940987783478E-30
