         TRACER     LAYER    INITIAL MMR      FINAL MMR
             o3         9  0.8398616E-08  0.8398087E-08
             o3        10  0.7007834E-08  0.7007398E-08
             o3        11  0.5380702E-08  0.5380367E-08
             o3        12  0.4201981E-08  0.4201716E-08
             o3        13  0.3611786E-08  0.3611559E-08
             o3        14  0.3146649E-08  0.3146452E-08
             o3        15  0.3616591E-08  0.3616384E-08
             o3        16  0.8343214E-08  0.8342902E-08
             o3        17  0.3251627E-07  0.3251574E-07
             o3        18  0.1374258E-06  0.1374228E-06
             o3        19  0.6543424E-06  0.6543065E-06
             o3        20  0.1933640E-05  0.1886087E-05
             o3        21  0.1707509E-05  0.1728610E-05
             o3        22  0.2478275E-06  0.2280386E-06
             o3        23  0.1060588E-06  0.9758133E-07
             o3        24  0.1383936E-06  0.1092787E-06
             o3        25  0.1208554E-06  0.8789386E-07
              h         1  0.7214164E-17  0.1777256E-15
              h         2  0.7363185E-17  0.1784880E-15
              h         3  0.8253382E-17  0.2020251E-15
              h         4  0.9650652E-17  0.1213109E-15
              h         5  0.1114957E-16  0.9582161E-17
              h         6  0.1272287E-16  0.8618316E-17
              h         7  0.1475844E-16  0.1006160E-16
              h         8  0.1785611E-16  0.1223266E-16
              h         9  0.2316775E-16  0.1592087E-16
              h        10  0.3343153E-16  0.2296323E-16
              h        11  0.5456046E-16  0.3735301E-16
              h        12  0.9550697E-16  0.6531666E-16
              h        13  0.1713236E-15  0.1179897E-15
              h        14  0.3262945E-15  0.2271243E-15
              h        15  0.5700604E-15  0.4140583E-15
              h        16  0.6279301E-15  0.5081715E-15
              h        17  0.4859376E-15  0.4367625E-15
              h        18  0.1311890E-14  0.1206449E-14
              h        19  0.7201087E-14  0.5791796E-14
              h        20  0.9947604E-11  0.5470554E-11
              h        21  0.4686593E-10  0.4589890E-10
              h        22  0.6371815E-09  0.6330403E-09
              h        23  0.3587578E-08  0.3578045E-08
              h        24  0.9556843E-08  0.9554049E-08
              h        25  0.1469828E-07  0.1469784E-07
             h2         1  0.6818353E-06  0.6818355E-06
             h2         2  0.6818358E-06  0.6818358E-06
             h2         3  0.6818403E-06  0.6818403E-06
             h2         4  0.6818455E-06  0.6818455E-06
             h2         5  0.6818431E-06  0.6818432E-06
             h2         6  0.6818264E-06  0.6818264E-06
             h2         7  0.6817701E-06  0.6817701E-06
             h2         8  0.6816114E-06  0.6816113E-06
             h2         9  0.6811663E-06  0.6811663E-06
             h2        10  0.6786769E-06  0.6786769E-06
             h2        11  0.6714027E-06  0.6714027E-06
             h2        12  0.6643892E-06  0.6643892E-06
             h2        13  0.6596056E-06  0.6596057E-06
             h2        14  0.6541734E-06  0.6541734E-06
             h2        15  0.6487363E-06  0.6487364E-06
