h2                     16  0.7563489E-06
h2                     17  0.7550236E-06
h2                     18  0.7553005E-06
h2                     19  0.7560642E-06
h2                     20  0.7568140E-06
h2                     21  0.7574866E-06
h2                     22  0.7580198E-06
h2                     23  0.7579737E-06
h2                     24  0.7550445E-06
h2                     25  0.7515480E-06
oh                      1  0.1682396E-08
oh                      2  0.1683594E-08
oh                      3  0.1692825E-08
oh                      4  0.1715907E-08
oh                      5  0.1760812E-08
oh                      6  0.1839324E-08
oh                      7  0.1964455E-08
oh                      8  0.2191392E-08
oh                      9  0.2672032E-08
oh                     10  0.3536639E-08
oh                     11  0.4933031E-12
oh                     12  0.6865347E-12
oh                     13  0.9358622E-12
oh                     14  0.1343201E-11
oh                     15  0.2126644E-11
oh                     16  0.3812269E-11
oh                     17  0.7433964E-11
oh                     18  0.1486283E-10
oh                     19  0.2922639E-10
oh                     20  0.2352525E-10
oh                     21  0.1012186E-10
oh                     22  0.2493542E-10
oh                     23  0.9078273E-10
oh                     24  0.1632302E-09
oh                     25  0.2747737E-10
ho2                     1  0.9999585E-07
ho2                     2  0.9999585E-07
ho2                     3  0.9999585E-07
ho2                     4  0.9999585E-07
ho2                     5  0.9999585E-07
ho2                     6  0.9999585E-07
ho2                     7  0.9999585E-07
ho2                     8  0.9999585E-07
ho2                     9  0.9999585E-07
ho2                    10  0.9999585E-07
ho2                    11  0.2458975E-08
ho2                    12  0.2801627E-08
ho2                    13  0.2855092E-08
ho2                    14  0.2707962E-08
ho2                    15  0.2489905E-08
ho2                    16  0.2272525E-08
ho2                    17  0.2000784E-08
ho2                    18  0.1275389E-08
ho2                    19  0.4987095E-09
ho2                    20  0.7626537E-10
ho2                    21  0.1746287E-10
ho2                    22  0.3226952E-10
ho2                    23  0.1157864E-09
ho2                    24  0.1532340E-09
ho2                    25  0.1891653E-10
h2o2                    1  0.2037149E-05
h2o2                    2  0.2037159E-05
h2o2                    3  0.2037075E-05
h2o2                    4  0.2036837E-05
h2o2                    5  0.2036373E-05
h2o2                    6  0.2035577E-05
h2o2                    7  0.2037792E-05
h2o2                    8  0.2044857E-05
h2o2                    9  0.2314574E-05
h2o2                   10  0.2156043E-05
h2o2                   11  0.3384434E-07
h2o2                   12  0.3535794E-07
h2o2                   13  0.2867353E-07
h2o2                   14  0.1939342E-07
h2o2                   15  0.1177628E-07
h2o2                   16  0.6639695E-08
h2o2                   17  0.3169664E-08
h2o2                   18  0.1166282E-08
h2o2                   19  0.4590430E-09
h2o2                   20  0.4056858E-09
h2o2                   21  0.8800577E-11
h2o2                   22  0.5486042E-12
h2o2                   23  0.1168965E-11
h2o2                   24  0.1283242E-11
h2o2                   25  0.7734457E-14
n2                      1  0.1741872E-01
n2                      2  0.1741872E-01
n2                      3  0.1741872E-01
